chs, cq, pinyin, eng, pos
污, wu1, wu1, pollute, v
无, wu2, wu2, no, adv
吾, wu2, wu2, my, n
完了, wan2 lao3, wan2 le, gg, v
危险, wei2 xian3, wei1 xian3, single foot poop shit, adj
为什么, wei4 sen2 mo1, wei4 shen2 me, why, conj

# X
西, xi1, xi1, west, n
习, xi2, xi2, practice, v
吸, xi2, xi1, suck, v
洗, xi3, xi3, wash, v
下, xia4, xia4, down, v
夏, xia4, xia4, summer, n
宵, xiao1, xiao1, night, n
仙, xian1, xian1, fairy, n
先, xian1, xian1, before, prep
香, xiang1, xiang1, good smell, adj
想, xiang3, xiang3, think, v
象, xiang4, xiang4, elephant, n
小, xiao3, xiao3, small, adj
戏, xi4, xi4, opera, n
歇, xie2, xie1, rest, v
星, xin1, xing1, star, n, cover=false
新, xin1, xin1, new, adj
形, xin2, xing2, shape, n
行, xin2, xing2, walk, v
学, xio2, xue2, study, v
虚, xu1, xu1, weak, adj
须, xu1, xu1, beard, n
鲜, xuan1, xian1, good taste, adj
速, xuu2, su4, speed, n
洗白, xi3 be2, xi3 bai2, die, v
小什字, xiao3 si2 zi4, xiao3 shi2 zi4, small stone word, n

# Y
鸭, ya2, ya1, duck, n, cover=true
盐, yan2, yan2, salt, n
严, yan2, yan2, strict, adj
眼, yan3, yan3, eye, n
演, yan3, yan3, act, v
羊, yang2, yang2, sheep, n
阳, yang2, yang2, sun, n
要, yao4, yao4, want, v
叶, ye2, ye4, leaf, n
爷, ye2, ye2, grandfather, n
野, ye3, ye3, wild, adj
也, ye3, ye3, too, det
夜, ye4, ye4, night, n
液, ye4, ye4, liquid, n
衣, yi1, yi1, clothes, n
一, yi2, yi1, one, n
疑, yi2, yi2, question, v
乙, yi2, yi3, B, n
已, yi3, yi3, already, adv
亿, yi4, yi4, hundred million, n
音, yin1, yin1, music, n, cover=false
药, yo2, yao4, medicine, n
用, yong4, yong4, use, v
油, you2, you2, oil, n
游, you2, you2, swim, v
有, you3, you3, have, v
友, you3, you3, friend, n
幼, you4, you4, small, adj
又, you4, you4, both, det
鱼, yu2, yu2, fish, n
渝, yu2, yu2, double celebrity, n
余, yu2, yu2, remainder, n
雨, yu3, yu3, rain, n
语, yu3, yu3, language, n
与, yu3, yu3, and, conj
玉, yu4, yu4, jade, n, cover=false
园, yuan2, yuan2, garden, n
原, yuan2, yuan2, atom, n
圆, yuan2, yuan2, circle, n
远, yuan3, yuan3, far, adj
永, yun3, yong3, forever, adj, cover=false
一个, yi2 go4, gi2 ge4, one, n
一哈, yi2 ha1, yi4 ha1, wait a minute, v
一下, yi2 ha4, yi2 xia4, once, adv
已经, yi3 jin1, yi3 jing1, already, adv
一起, yi2 qi3, yi4 qi3, together, adv
因为, yin1 wei4, yin1 wei2, because, conj
游戏, you2 xi4, you2 xi4, game, n

# Z
炸, za4, zha4, explode, v
在, zai4, zai4, at, prep
再, zai4, zai4, again, adv
载, zai4, zai4, load, v
战, zan4, zhan4, war, n
站, zan4, zhan4, stand, v
占, zan4, zhan4, occupy, v
嗞, zi1, zi1, erase, v
植, zi2, zhi2, plant, n
子, zi3, zi3, son, n
紫, zi3, zi3, purple, n
指, zi3, zhi3, finger, n
只, zi3, zhi3, only, adv
字, zi4, zi4, character, n
自, zi4, zi4, self, n
脏, zang1, zang1, dirty, adj
张, zang1, zhang1, open, v
正, zen4, zheng4, positive, adj
桌, zo2, zhuo1, table, n
走, zou3, zou3, walk, v
中, zong1, zhong1, mid, adj
钟, zong1, zhong1, clock, n
总, zong3, zong3, total, adj
种, zong3, zhong3, kind, n
重, zong4, zong4, heavy, adj
做, zu4, zuo4, do, v
抓, zua1, zhua1, catch, v
转, zuan3, zhuan3, turn, v
最, zui4, zui4, most, adv
醉, zui4, zui4, drunk, adj
罪, zui4, zui4, crime, n
装, zuang1, zhuang1, pretend, v
怎么, zen3 mo1, zen3 me, how, conj
